time_stamp,open,high,low,close,vol
2019-11-19,3.1801,3.1974,3.02,3.12,9446196.27
2019-11-20,3.1211,3.155,3.049,3.0805,6671828.73
2019-11-21,3.0805,3.1199,2.7378,2.8184,12397552.7
2019-11-22,2.8187,2.8457,2.45,2.6127,23716364.58
2019-11-23,2.6136,2.7042,2.5581,2.6755,9045674.22
2019-11-24,2.677,2.6847,2.355,2.4115,13216373.12
2019-11-25,2.4129,2.6177,2.3307,2.518,16105065.42
2019-11-26,2.5182,2.6372,2.5157,2.6113,8901454.41
2019-11-27,2.61,2.7442,2.4865,2.6793,11937329.17
2019-11-28,2.6786,2.6965,2.5942,2.6237,5777457.59
2019-11-29,2.6235,2.8278,2.619,2.7921,7619661.15
2019-11-30,2.7921,2.8182,2.712,2.7479,5427846.98
2019-12-01,2.7472,2.8559,2.6572,2.7737,7903879.51
2019-12-02,2.772,2.7926,2.64,2.6736,6764047.22
2019-12-03,2.6734,2.74,2.647,2.6944,3808248.25
2019-12-04,2.6944,2.788,2.5586,2.6268,9969311.25
2019-12-05,2.6263,2.7046,2.6169,2.6829,5983778.39
2019-12-06,2.6823,2.7437,2.6573,2.7249,4966177.0
2019-12-07,2.7241,2.7555,2.7058,2.7209,2008684.24
2019-12-08,2.7201,2.7848,2.6904,2.7401,2340671.54
2019-12-09,2.7413,2.7516,2.611,2.657,4861073.37
2019-12-10,2.6559,2.6697,2.5725,2.6009,3151205.56
2019-12-11,2.6012,2.6213,2.545,2.5767,3213979.64
2019-12-12,2.5772,2.6163,2.5099,2.5825,4791852.58
2019-12-13,2.5829,2.6437,2.5682,2.6254,3390479.45
2019-12-14,2.6254,2.6304,2.5393,2.5645,3422522.06
2019-12-15,2.5657,2.5969,2.5366,2.5631,2271841.77
2019-12-16,2.5624,2.5659,2.2905,2.3688,9489180.19
2019-12-17,2.3687,2.3697,2.1428,2.1948,11737833.23
2019-12-18,2.1936,2.5289,2.1594,2.4597,13542945.82
2019-12-19,2.4579,2.5006,2.3989,2.4507,5808065.33
2019-12-20,2.45,2.547,2.4197,2.4849,4827023.19
2019-12-21,2.4884,2.4884,2.4258,2.4421,2201093.63
2019-12-22,2.4415,2.55,2.4364,2.5344,3414918.35
2019-12-23,2.5353,2.6041,2.4956,2.5136,5384995.44
2019-12-24,2.5137,2.5724,2.4773,2.542,4725177.63
2019-12-25,2.542,2.5481,2.4422,2.4801,3252232.09
2019-12-26,2.4803,2.65,2.4636,2.5169,5192212.05
2019-12-27,2.5165,2.5961,2.5062,2.5712,3833782.79
2019-12-28,2.5717,2.6681,2.5688,2.6283,4245780.0
2019-12-29,2.6283,2.7178,2.616,2.6859,3118601.15
2019-12-30,2.6861,2.7214,2.6003,2.6263,3684736.98
2019-12-31,2.6271,2.6526,2.5653,2.5833,2756881.48
